Chapter,ID,People/Event
4,people_9677ec1950702c663e9a9cfd90e98100,john_1677
4,people_8f367c1b11a63a2c205a984f71382a98,holy_spirit_7400
4,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
4,people_69d08968322add3c3a91d3f2c8d416cf,andrew_264
4,people_45c0ff7229d4da2688dd795f2da58e10,peter_2745
4,people_30469efa198a8c9581922372eef941b3,zebedee_2998
4,people_12f80b516bb106941288062f032b4401,god_1324
4,people_10a967596c86b67d3e3fce6338e1ac10,zebulun_3002
4,people_04e174acd910c726abfe5cd641bf5034,naphtali_2149
4,event_ea4de07a6f4431a1abf09048a5ad668c,jesus in capernaum
4,event_790f5a904a89d96c69f9fdb896a2a21f,"jesus leaves judea toward galilee, jesus visits galilee"
4,event_4e12fdf35e5c9827cd2ce1982de1030a,temptations of jesus
4,event_37dcb7300f24b81bb96deade2bd55ee1,fishers of men
4,event_2f95b79a44a32863c553e197d0ff6124,jesus' 1st tour of galilee
5,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
5,people_12f80b516bb106941288062f032b4401,god_1324
5,event_0aaffd55690fdeded882df95181e06b6,sermon on the mount
6,people_dd55f8b07f89d58897b64c3cf2d09594,solomon_2762
6,people_12f80b516bb106941288062f032b4401,god_1324
6,event_0aaffd55690fdeded882df95181e06b6,sermon on the mount
7,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
7,people_12f80b516bb106941288062f032b4401,god_1324
7,event_0aaffd55690fdeded882df95181e06b6,sermon on the mount
8,people_f37710aa0d0f87130c8fecfd990e9164,abraham_58
8,people_db78b6b7bb3cbb577eb291deb4937965,israel_682
8,people_ba558dd3dc06148c4093ceee8081d5ab,isaiah_617
8,people_8392c0923cc9ae5b21f55fb5281ae163,isaac_616
8,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
8,people_54391b8dee1376fe9bffd83cebd93a08,moses_2108
8,people_45c0ff7229d4da2688dd795f2da58e10,peter_2745
8,people_3b3c5f175c377700e16ccd023e721849,mother_of_the_wife_of_simon_2111
8,people_16c785add09c2758b120151627f38ee1,wife_of_simon_2943
8,people_12f80b516bb106941288062f032b4401,god_1324
8,event_88121cbda113d22a64d7d67087710bd2,healing centurion's servant
8,event_808b012e320c52cbcc416205ba11fea0,gadarene demoniacs
8,event_6225c363f7a5c1f6312cc5bdf9377766,healing the leper
8,event_2c52d25668389a22bf26f47d2080d7da,seaside parables and miracle
8,event_0f77167740ba5d66760f65c237174878,peter's mother-in-law and others healed
9,people_d2e557b48945df786b9bebca1c143585,matthew_1971
9,people_bd51343ae1296e5fcfbc1ff629830b3a,david_994
9,people_a3c19bfcb377f94f19ab0eca9e103d02,john_1676
9,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
9,people_12f80b516bb106941288062f032b4401,god_1324
9,event_fa064bb00915c7f5ea2305c237968411,healing the man with palsy
9,event_b6936d4974d4b39d191d18b1ec33d781,3rd tour of galilee
9,event_ae4f4dbb5930d402cd354f4eed4b2a64,parable of the winseskins
9,event_acb4d47e8f28632c76f5369373f5f69d,jesus calls matthew
9,event_ac7440db5ee170b1aa437ade4c3e8ffe,capernaum miracles
9,event_77cf2299b8b0feb4b093c29d1c5d029a,fasting question
